"title","Archive_Date","position","location","url","District","Category","Broad_Category"
"Library Media Specialist","2024-08-09","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Library Media","Library Media"
"Math Teacher","2024-08-09","Teacher","Black Butte High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Mathematics Education","Math"
"Math Teacher (2)","2024-08-09","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Mathematics Education","Math"
"Music Teacher (2)","2024-08-09","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Music Education","Music"
"PE/Health Teacher-K-3","2024-08-09","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Physical Education","Physical Education"
"Science Teacher","2024-08-09","Teacher","Rock Springs Junior High","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Science Education","Science"
"Resource Teacher","2024-08-09","Teacher","Walnut Elementary","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Resource Teacher (2)","2024-08-09","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Special Education - Resource/Life Skills","Special Education - Resource/Life Skills"
"Alternative Communication Program Teacher","2024-08-09","Teacher","Rock Springs High School","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Uncategorized","Other"
"Virtual EL Teacher","2024-08-09","Teacher","District Wide","https://www.applitrack.com/sweetwater/onlineapp/default.aspx?all=1","Sweetwater County School District 1","Virtual Education","Other"
"Social Studies Teacher (Grades 6-8)","2024-08-09","Teacher","Lincoln Middle School","https://www.applitrack.com/swcsd2/onlineapp/default.aspx?all=1","Sweetwater County School District 2","Social Studies Education","Secondary Social Studies"
"Elementary Spanish Teacher","2024-08-09","Teacher","Colter Elementary School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Elementary Education","Elementary"
"High School Spanish Teacher","2024-08-09","Teacher","Jackson Hole High School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Language Education","Language"
"High School Special Education Teacher","2024-08-09","Teacher","Jackson Hole High School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Special Education - General","Special Education - General"
"Middle School Special Education Teacher","2024-08-09","Teacher","Jackson Hole Middle School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Special Education - General","Special Education - General"
